"Issue Id","Issue Type","Summary","Description","Priority","Story Points","Sprint","Assignee","Labels","Parent Id"
"1","Task","S1 1.1 - Project Setup & Database Schema","Initialize Camera Management microservice with Clean Architecture folder structure, configure PostgreSQL database connection, and set up Alembic migrations.

Technologies: FastAPI 0.109+, SQLAlchemy 2.0.36, pg8000, Alembic 1.13+, Pydantic Settings

Duration: 1 day

Assignee (role): Backend Developer

Acceptance Criteria:
- FastAPI project structure created (api, application, domain, infrastructure layers)
- Database connection configured with SQLAlchemy
- Environment variables setup (.env, .env.example)
- Alembic initialized with initial migration
- Requirements.txt with all dependencies

Subtasks:
- Create project folder structure (api/, application/, domain/, infrastructure/)
- Install FastAPI, SQLAlchemy, pg8000, pydantic dependencies
- Configure database settings with Pydantic Settings
- Initialize Alembic and create migration environment
- Create .env.example with DATABASE_URL, JWT_SECRET_KEY templates
- Setup main.py with FastAPI app initialization","Highest","3","Sprint 1 - Camera Management Backend","","sprint-1",""
"2","Sub-task","Create project folder structure (api/, application/, domain/, infrastructure/)","Parent: S1 1.1 - Project Setup & Database Schema","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","1"
"3","Sub-task","Install FastAPI, SQLAlchemy, pg8000, pydantic dependencies","Parent: S1 1.1 - Project Setup & Database Schema","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","1"
"4","Sub-task","Configure database settings with Pydantic Settings","Parent: S1 1.1 - Project Setup & Database Schema","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","1"
"5","Sub-task","Initialize Alembic and create migration environment","Parent: S1 1.1 - Project Setup & Database Schema","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","1"
"6","Sub-task","Create .env.example with DATABASE_URL, JWT_SECRET_KEY templates","Parent: S1 1.1 - Project Setup & Database Schema","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","1"
"7","Sub-task","Setup main.py with FastAPI app initialization","Parent: S1 1.1 - Project Setup & Database Schema","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","1"
"8","Task","S1 1.2 - Domain Layer: Camera Entity & Value Objects","Implement Camera domain entity with business logic, enumerations (CameraStatus, CameraType), and CameraLocation value object. Follow domain-driven design principles.

Technologies: Python dataclasses, typing, UUID, datetime, enum

Duration: 1.5 days

Assignee (role): Backend Developer

Acceptance Criteria:
- Camera entity with all attributes (id, owner_user_id, name, stream_url, protocol, resolution, fps, encoding, status, type, location)
- CameraStatus enum (ONLINE, OFFLINE, DISABLED)
- CameraType enum (INDOOR, OUTDOOR, THERMAL, FISHEYE, PTZ)
- CameraLocation value object with building, floor, zone, room, GPS coordinates
- Business methods: enable(), disable(), mark_online(), mark_offline(), update_config()
- Factory method: create() with validation

Subtasks:
- Create domain/entities/camera.py with Camera dataclass
- Implement CameraStatus enum (ONLINE, OFFLINE, DISABLED)
- Implement CameraType enum (INDOOR, OUTDOOR, THERMAL, FISHEYE, PTZ)
- Create CameraLocation value object with GPS validation
- Add enable/disable business methods
- Add mark_online/mark_offline methods with timestamp update
- Implement update_config method with partial updates
- Add create() factory method with default status=OFFLINE","Highest","5","Sprint 1 - Camera Management Backend","","sprint-1",""
"9","Sub-task","Create domain/entities/camera.py with Camera dataclass","Parent: S1 1.2 - Domain Layer: Camera Entity & Value Objects","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","8"
"10","Sub-task","Implement CameraStatus enum (ONLINE, OFFLINE, DISABLED)","Parent: S1 1.2 - Domain Layer: Camera Entity & Value Objects","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","8"
"11","Sub-task","Implement CameraType enum (INDOOR, OUTDOOR, THERMAL, FISHEYE, PTZ)","Parent: S1 1.2 - Domain Layer: Camera Entity & Value Objects","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","8"
"12","Sub-task","Create CameraLocation value object with GPS validation","Parent: S1 1.2 - Domain Layer: Camera Entity & Value Objects","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","8"
"13","Sub-task","Add enable/disable business methods","Parent: S1 1.2 - Domain Layer: Camera Entity & Value Objects","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","8"
"14","Sub-task","Add mark_online/mark_offline methods with timestamp update","Parent: S1 1.2 - Domain Layer: Camera Entity & Value Objects","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","8"
"15","Sub-task","Implement update_config method with partial updates","Parent: S1 1.2 - Domain Layer: Camera Entity & Value Objects","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","8"
"16","Sub-task","Add create() factory method with default status=OFFLINE","Parent: S1 1.2 - Domain Layer: Camera Entity & Value Objects","Highest","","Sprint 1 - Camera Management Backend","","sprint-1","8"
"17","Task","S1 1.3 - Domain Layer: CameraAccess & CameraHealth Entities","Implement access control entity for sharing cameras and health monitoring entity for tracking camera performance metrics.

Technologies: Python dataclasses, enum, UUID, datetime

Duration: 1 day

Assignee (role): Backend Developer

Acceptance Criteria:
- CameraAccess entity with camera_id, user_id, permission (VIEW/MANAGE)
- CameraPermission enum (VIEW, MANAGE)
- CameraHealth entity with latency_ms, frame_drop_rate, uptime_percentage
- Timestamp tracking (granted_at, last_heartbeat, recorded_at)

Subtasks:
- Create domain/entities/camera_access.py
- Implement CameraPermission enum (VIEW, MANAGE)
- Add CameraAccess entity with granted_at timestamp
- Create domain/entities/camera_health.py
- Implement CameraHealth with performance metrics
- Add create() factory methods for both entities","High","4","Sprint 1 - Camera Management Backend","","sprint-1",""
"18","Sub-task","Create domain/entities/camera_access.py","Parent: S1 1.3 - Domain Layer: CameraAccess & CameraHealth Entities","High","","Sprint 1 - Camera Management Backend","","sprint-1","17"
